TAG	name	alias
LOC_EMD	북면 적목리	북면 적목리
LOC_EMD	북면 전곡리	북면 전곡리
LOC_EMD	북면 제령리	북면 제령리
LOC_EMD	북면 주인리	북면 주인리
LOC_EMD	북면 지개리	북면 지개리
LOC_EMD	북면 천부리	북면 천부리
LOC_EMD	북면 태곡리	북면 태곡리
LOC_EMD	북면 하당리	북면 하당리
LOC_EMD	북면 하천리	북면 하천리
LOC_EMD	북면 한계리	북면 한계리
LOC_EMD	북면 한교리	북면 한교리
LOC_EMD	북면 현포리	북면 현포리
LOC_EMD	북면 화악리	북면 화악리
LOC_EMD	북면 화천리	북면 화천리
LOC_EMD	북면 화해리	북면 화해리
LOC_EMD	상면 덕현리	상면 덕현리
LOC_EMD	상면 봉수리	상면 봉수리
LOC_EMD	상면 상동리	상면 상동리
LOC_EMD	상면 연하리	상면 연하리
LOC_EMD	상면 원흥리	상면 원흥리
LOC_EMD	상면 율길리	상면 율길리
LOC_EMD	상면 임초리	상면 임초리
LOC_EMD	상면 태봉리	상면 태봉리
LOC_EMD	상면 항사리	상면 항사리
LOC_EMD	상면 행현리	상면 행현리
LOC_EMD	서면 갈천리	서면 갈천리
LOC_EMD	서면 개야리	서면 개야리
LOC_EMD	서면 구만리	서면 구만리
LOC_EMD	서면 구상리	서면 구상리
LOC_EMD	서면 굴업리	서면 굴업리
LOC_EMD	서면 금산리	서면 금산리
LOC_EMD	서면 길곡리	서면 길곡리
LOC_EMD	서면 남상리	서면 남상리
LOC_EMD	서면 남서리	서면 남서리
LOC_EMD	서면 남양리	서면 남양리
LOC_EMD	서면 내현리	서면 내현리
LOC_EMD	서면 노구리	서면 노구리
LOC_EMD	서면 논화리	서면 논화리
LOC_EMD	서면 당림리	서면 당림리
LOC_EMD	서면 대곡리	서면 대곡리
LOC_EMD	서면 대구리	서면 대구리
LOC_EMD	서면 대정리	서면 대정리
LOC_EMD	서면 도계리	서면 도계리
LOC_EMD	서면 도둔리	서면 도둔리
LOC_EMD	서면 동막리	서면 동막리
LOC_EMD	서면 동산리	서면 동산리
LOC_EMD	서면 두미리	서면 두미리
LOC_EMD	서면 마곡리	서면 마곡리
LOC_EMD	서면 마량리	서면 마량리
LOC_EMD	서면 모곡리	서면 모곡리
LOC_EMD	서면 미천리	서면 미천리
LOC_EMD	서면 반곡리	서면 반곡리
LOC_EMD	서면 방동리	서면 방동리
LOC_EMD	서면 범부리	서면 범부리
LOC_EMD	서면 부사리	서면 부사리
LOC_EMD	서면 북암리	서면 북암리
LOC_EMD	서면 북평리	서면 북평리
LOC_EMD	서면 비월리	서면 비월리
LOC_EMD	서면 사라리	서면 사라리
LOC_EMD	서면 상평리	서면 상평리
LOC_EMD	서면 서림리	서면 서림리
LOC_EMD	서면 서상리	서면 서상리
LOC_EMD	서면 서선리	서면 서선리
LOC_EMD	서면 서오리	서면 서오리
LOC_EMD	서면 서호리	서면 서호리
LOC_EMD	서면 선평리	서면 선평리
LOC_EMD	서면 송어리	서면 송어리
LOC_EMD	서면 송천리	서면 송천리
LOC_EMD	서면 신매리	서면 신매리
LOC_EMD	서면 신합리	서면 신합리
LOC_EMD	서면 심곡리	서면 심곡리
LOC_EMD	서면 아화리	서면 아화리
LOC_EMD	서면 안보리	서면 안보리
LOC_EMD	서면 압곡리	서면 압곡리
LOC_EMD	서면 연죽리	서면 연죽리
LOC_EMD	서면 영덕리	서면 영덕리
LOC_EMD	서면 오색리	서면 오색리
LOC_EMD	서면 오월리	서면 오월리
LOC_EMD	서면 와수리	서면 와수리
LOC_EMD	서면 용소리	서면 용소리
LOC_EMD	서면 용천리	서면 용천리
LOC_EMD	서면 운대리	서면 운대리
LOC_EMD	서면 운평리	서면 운평리
LOC_EMD	서면 원두리	서면 원두리
LOC_EMD	서면 월송리	서면 월송리
LOC_EMD	서면 월호리	서면 월호리
LOC_EMD	서면 자등리	서면 자등리
LOC_EMD	서면 작장리	서면 작장리
LOC_EMD	서면 장승리	서면 장승리
