"단양읍 도전리","단양읍 도전리"
"단양읍 별곡리","단양읍 별곡리"
"단양읍 상진리","단양읍 상진리"
"달동","달동"
"달성동","달성동"
"달천동","달천동"
"담양읍 백동리","담양읍 백동리"
"담양읍 지침리","담양읍 지침리"
"담양읍 천변리","담양읍 천변리"
"답동","답동"
"답십리동","답십리동"
"당감동","당감동"
"당동","당동"
"당리동","당리동"
"당북동","당북동"
"당산동","당산동"
"당산동1가","당산동1가"
"당산동2가","당산동2가"
"당산동3가","당산동3가"
"당산동4가","당산동4가"
"당산동5가","당산동5가"
"당산동6가","당산동6가"
"당수동","당수동"
"당왕동","당왕동"
"당저동","당저동"
"당정동","당정동"
"당주동","당주동"
"당하동","당하동"
"대가야읍 고아리","대가야읍 고아리"
"대가야읍 연조리","대가야읍 연조리"
"대가야읍 장기리","대가야읍 장기리"
"대가야읍 지산리","대가야읍 지산리"
"대가야읍 쾌빈리","대가야읍 쾌빈리"
"대곡동","대곡동"
"대곡면 광석리","대곡면 광석리"
"대관령면 용산리","대관령면 용산리"
"대관령면 차항리","대관령면 차항리"
"대관령면 횡계리","대관령면 횡계리"
"대교동","대교동"
"대교동1가","대교동1가"
"대교동2가","대교동2가"
"대내동","대내동"
"대덕동","대덕동"
"대덕면 건지리","대덕면 건지리"
"대덕면 내리","대덕면 내리"
"대덕면 신령리","대덕면 신령리"
"대덕면 진현리","대덕면 진현리"
"대덕읍 신월리","대덕읍 신월리"
"대도동","대도동"
"대동","대동"
"대림동","대림동"
"대명동","대명동"
"대방동","대방동"
"대봉동","대봉동"
"대사동","대사동"
"대산면 가술리","대산면 가술리"
"대산면 구혜리","대산면 구혜리"
"대산면 매산리","대산면 매산리"
"대산읍 대산리","대산읍 대산리"
"대산읍 영탑리","대산읍 영탑리"
"대성동","대성동"
"대성동1가","대성동1가"
"대성동2가","대성동2가"
"대소면 대풍리","대소면 대풍리"
"대소면 부윤리","대소면 부윤리"
"대소면 삼정리","대소면 삼정리"
"대소면 소석리","대소면 소석리"
"대소면 오류리","대소면 오류리"
"대소면 오산리","대소면 오산리"
"대소면 태생리","대소면 태생리"
"대소원면 대소리","대소원면 대소리"
"대소원면 만정리","대소원면 만정리"
"대소원면 본리","대소원면 본리"
"대송면 제내리","대송면 제내리"
"대신동","대신동"
"대안동","대안동"
"대야동","대야동"
"대야면 산월리","대야면 산월리"
"대야면 지경리","대야면 지경리"
"대야미동","대야미동"
"대양동","대양동"
"대연동","대연동"
"대외동","대외동"
"대원동","대원동"
"대월면 사동리","대월면 사동리"
"대월면 초지리","대월면 초지리"
"대의동2가","대의동2가"
